,Starting date,Ending date,p1,p2,p3,p4,p5,p6,p7,p8,p123,p567,lf
23,15-dec-1991,24-jan-1992,7.0,3.0,8.0,1.0,3.0,6.0,4.0,9.0,18.0,13.0,41.0
24,25-jan-1992,19-mar-1992,17.0,1.0,0.0,15.0,8.0,4.0,2.0,8.0,18.0,14.0,55.0
25,20-mar-1992,24-apr-1992,5.0,4.0,5.0,5.0,4.0,7.0,4.0,2.0,14.0,15.0,36.0
26,26-nov-1992,6-jan-1993,9.0,6.0,3.0,1.0,3.0,1.0,9.0,10.0,18.0,13.0,42.0
27,7-jan-1993,16-feb-1993,4.0,5.0,6.0,3.0,2.0,5.0,14.0,2.0,15.0,21.0,41.0
28,19-nov-1993,10-jan-1994,3.0,6.0,6.0,10.0,10.0,11.0,2.0,5.0,15.0,23.0,53.0
29,11-jan-1994,8-mar-1994,4.0,9.0,13.0,12.0,4.0,5.0,3.0,7.0,26.0,12.0,57.0
30,1-nov-1994,26-dec-1994,7.0,14.0,8.0,7.0,12.0,2.0,4.0,2.0,29.0,18.0,56.0
31,27-dec-1994,31-jan-1995,2.0,3.0,11.0,11.0,5.0,3.0,0.0,1.0,16.0,8.0,36.0
32,1-feb-1995,15-mar-1995,4.0,2.0,10.0,11.0,6.0,5.0,2.0,3.0,16.0,13.0,43.0
33,16-mar-1995,24-apr-1995,9.0,3.0,4.0,7.0,2.0,3.0,5.0,7.0,16.0,10.0,40.0
34,13-mar-1996,15-apr-1996,4.0,7.0,5.0,6.0,4.0,5.0,0.0,3.0,16.0,9.0,34.0
35,19-nov-1996,9-jan-1997,3.0,8.0,11.0,4.0,6.0,6.0,6.0,8.0,22.0,18.0,52.0
36,10-jan-1997,24-mar-1997,5.0,3.0,10.0,16.0,12.0,14.0,8.0,6.0,18.0,34.0,74.0
37,25-mar-1997,20-apr-1997,4.0,8.0,2.0,2.0,3.0,0.0,4.0,4.0,14.0,7.0,27.0
38,8-nov-1997,11-jan-1998,11.0,17.0,11.0,8.0,6.0,4.0,2.0,6.0,39.0,12.0,65.0
39,13-jan-1999,24-feb-1999,5.0,2.0,4.0,2.0,4.0,13.0,4.0,9.0,11.0,21.0,43.0
